Z,MCLU,TIME[Myr],NB_P
0.02,1020,20.5,0.6108949416342413
0.02,1020,85.25,0.47783251231527096
0.02,1020,99.25,0.48717948717948717
0.02,1020,31.0,0.6111111111111112
0.02,1020,70.5,0.5821596244131455
0.02,1020,39.0,0.5702479338842975
0.02,1020,25.0,0.6392156862745098
0.02,1020,2.25,0.6677966101694915
0.02,1020,75.75,0.5048076923076923
0.02,1020,77.25,0.5265700483091788
0.02,1020,64.75,0.5302325581395348
0.02,1020,81.5,0.5098039215686274
0.02,1020,19.0,0.5984555984555985
0.02,1020,19.75,0.5945945945945946
0.02,1020,74.25,0.5333333333333333
0.02,1020,31.5,0.6055776892430279
0.02,1020,57.25,0.5495495495495496
0.02,1020,33.75,0.5816733067729084
0.02,1020,27.25,0.6126482213438735
0.02,1020,33.0,0.6071428571428571
0.02,1020,59.5,0.55
0.02,1020,44.75,0.5611814345991561
0.02,1020,8.0,0.6287878787878788
0.02,1020,91.25,0.49748743718592964
0.02,1020,62.5,0.5391705069124424
0.02,1020,72.0,0.5471698113207547
0.02,1020,10.25,0.599250936329588
0.02,1020,28.0,0.6309523809523809
0.02,1020,81.0,0.5170731707317073
0.02,1020,80.25,0.5317073170731708
0.02,1020,4.5,0.6383763837638377
0.02,1020,76.5,0.5265700483091788
0.02,1020,65.5,0.5373831775700935
0.02,1020,88.25,0.4975124378109453
0.02,1020,98.5,0.4948453608247423
0.02,1020,39.75,0.5708333333333333
0.02,1020,56.5,0.5540540540540541
0.02,1020,94.75,0.5202020202020202
0.02,1020,24.25,0.6181102362204725
0.02,1020,72.75,0.5660377358490566
0.02,1020,38.25,0.5836734693877551
0.02,1020,49.25,0.5701754385964912
0.02,1020,71.25,0.568075117370892
0.02,1020,84.5,0.4975369458128079
0.02,1020,58.75,0.5525114155251142
0.02,1020,11.0,0.6217228464419475
0.02,1020,8.75,0.6254681647940075
0.02,1020,5.25,0.6245353159851301
0.02,1020,6.0,0.6
0.02,1020,68.5,0.5467289719626168
0.02,1020,95.5,0.4897959183673469
0.02,1020,60.25,0.5345622119815668
0.02,1020,50.0,0.5526315789473685
0.02,1020,61.75,0.5162790697674419
0.02,1020,79.5,0.526829268292683
0.02,1020,1.5,0.627906976744186
0.02,1020,92.75,0.49246231155778897
0.02,1020,64.0,0.5255813953488372
0.02,1020,28.75,0.5816733067729084
0.02,1020,55.25,0.53125
0.02,1020,40.5,0.592436974789916
0.02,1020,0.0,1.0
0.02,1020,47.75,0.5695652173913044
0.02,1020,11.75,0.5795454545454546
0.02,1020,46.25,0.5584415584415584
0.02,1020,52.25,0.5242290748898678
0.02,1020,78.0,0.5097087378640777
0.02,1020,63.25,0.5327102803738317
0.02,1020,14.0,0.6022727272727273
0.02,1020,90.5,0.4925373134328358
0.02,1020,58.0,0.5454545454545454
0.02,1020,15.5,0.6197718631178707
0.02,1020,44.0,0.538135593220339
0.02,1020,69.75,0.5235849056603774
0.02,1020,7.25,0.6287878787878788
0.02,1020,42.75,0.5378151260504201
0.02,1020,22.0,0.6264591439688716
0.02,1020,23.5,0.6023622047244095
0.02,1020,73.5,0.5188679245283019
0.02,1020,36.75,0.5910931174089069
0.02,1020,83.75,0.5369458128078818
0.02,1020,43.5,0.5443037974683544
0.02,1020,61.0,0.5185185185185185
0.02,1020,53.0,0.5466666666666666
0.02,1020,26.5,0.592156862745098
0.02,1020,30.25,0.6071428571428571
0.02,1020,69.0,0.5046728971962616
0.02,1020,0.75,0.6221498371335505
0.02,1020,41.25,0.5606694560669456
0.02,1020,12.5,0.6174242424242424
0.02,1020,67.0,0.5514018691588785
0.02,1020,86.0,0.5270935960591133
0.02,1020,18.5,0.61003861003861
0.02,1020,14.75,0.6083650190114068
0.02,1020,29.5,0.5936254980079682
0.02,1020,34.5,0.570281124497992
0.02,1020,89.75,0.485
0.02,1020,94.0,0.5177664974619289
0.02,1020,96.25,0.5204081632653061
0.02,1020,47.0,0.5260869565217391
0.02,1020,42.0,0.5378151260504201
0.02,1020,93.5,0.48743718592964824
0.02,1020,54.5,0.5555555555555556
0.02,1020,32.25,0.6135458167330677
0.02,1020,83.0,0.5123152709359606
0.02,1020,67.75,0.5467289719626168
0.02,1020,35.25,0.5524193548387096
0.02,1020,9.5,0.6264150943396226
0.02,1020,89.0,0.5024875621890548
0.02,1020,25.75,0.6196078431372549
0.02,1020,3.75,0.6240875912408759
0.02,1020,100.0,0.517948717948718
0.02,1020,37.5,0.5959183673469388
0.02,1020,6.5,0.575187969924812
0.02,1020,36.0,0.5975609756097561
0.02,1020,45.5,0.5665236051502146
0.02,1020,17.75,0.5984555984555985
0.02,1020,56.0,0.5426008968609866
0.02,1020,78.75,0.5217391304347826
0.02,1020,17.0,0.6023166023166023
0.02,1020,21.25,0.6085271317829457
0.02,1020,97.75,0.47959183673469385
0.02,1020,53.75,0.5511111111111111
0.02,1020,92.0,0.48743718592964824
0.02,1020,97.0,0.49230769230769234
0.02,1020,50.75,0.5418502202643172
0.02,1020,66.25,0.5607476635514018
0.02,1020,87.5,0.5396039603960396
0.02,1020,3.0,0.6654929577464789
0.02,1020,22.75,0.5625
0.02,1020,86.75,0.5099009900990099
0.02,1020,16.25,0.5855513307984791
0.02,1020,82.25,0.5221674876847291
0.02,1020,51.5,0.5353982300884956
0.02,1020,75.0,0.5454545454545454
0.02,1020,48.5,0.5154185022026432
0.02,1020,13.25,0.6264150943396226
0.02,1012,18.5,0.5679012345679012
0.02,1012,76.25,0.46445497630331756
0.02,1012,88.75,0.46116504854368934
0.02,1012,27.75,0.5622317596566524
0.02,1012,63.25,0.5117370892018779
0.02,1012,34.75,0.5022421524663677
0.02,1012,22.25,0.5358649789029536
0.02,1012,2.0,0.6236162361623616
0.02,1012,67.75,0.5
0.02,1012,69.0,0.4835680751173709
0.02,1012,58.0,0.5092592592592593
0.02,1012,73.0,0.46226415094339623
0.02,1012,17.0,0.6097560975609756
0.02,1012,17.75,0.5802469135802469
0.02,1012,66.5,0.5046728971962616
0.02,1012,28.25,0.5521739130434783
0.02,1012,51.25,0.5137614678899083
0.02,1012,30.25,0.5066666666666667
0.02,1012,24.25,0.5780590717299579
0.02,1012,29.5,0.5288888888888889
0.02,1012,53.25,0.4954128440366973
0.02,1012,40.25,0.5339366515837104
0.02,1012,7.25,0.6130268199233716
0.02,1012,99.25,0.4975609756097561
0.02,1012,81.5,0.5096153846153846
0.02,1012,56.0,0.5023041474654378
0.02,1012,64.5,0.49765258215962443
0.02,1012,9.25,0.596078431372549
0.02,1012,25.0,0.5550847457627118
0.02,1012,72.25,0.5235849056603774
0.02,1012,90.75,0.46116504854368934
0.02,1012,71.75,0.4811320754716981
0.02,1012,4.0,0.620817843866171
0.02,1012,68.5,0.4835680751173709
0.02,1012,58.5,0.5116279069767442
0.02,1012,79.0,0.507177033492823
0.02,1012,95.5,0.5169082125603864
0.02,1012,88.25,0.4830917874396135
0.02,1012,35.5,0.52
0.02,1012,50.75,0.4977168949771689
0.02,1012,98.75,0.5145631067961165
0.02,1012,84.75,0.4975845410628019
0.02,1012,21.75,0.5588235294117647
0.02,1012,65.25,0.5093457943925234
0.02,1012,34.25,0.5357142857142857
0.02,1012,44.0,0.5045871559633027
0.02,1012,63.75,0.5
0.02,1012,75.75,0.5260663507109005
0.02,1012,52.75,0.4840182648401826
0.02,1012,9.75,0.5928853754940712
0.02,1012,8.0,0.6459143968871596
0.02,1012,4.5,0.6311787072243346
0.02,1012,5.25,0.6307692307692307
0.02,1012,61.25,0.5280373831775701
0.02,1012,92.75,0.49029126213592233
0.02,1012,85.5,0.4927536231884058
0.02,1012,54.0,0.5321100917431193
0.02,1012,44.75,0.4885844748858447
0.02,1012,55.25,0.4792626728110599
0.02,1012,71.0,0.49056603773584906
0.02,1012,1.25,0.6464285714285715
0.02,1012,83.0,0.4830917874396135
0.02,1012,57.25,0.5023041474654378
0.02,1012,25.75,0.5358649789029536
0.02,1012,49.25,0.4840182648401826
0.02,1012,36.25,0.5446428571428571
0.02,1012,0.0,1.0
0.02,1012,42.75,0.5296803652968036
0.02,1012,10.5,0.59375
0.02,1012,41.5,0.5227272727272727
0.02,1012,46.75,0.5114155251141552
0.02,1012,69.75,0.49765258215962443
0.02,1012,56.5,0.511520737327189
0.02,1012,12.5,0.5905511811023622
0.02,1012,81.0,0.5
0.02,1012,52.0,0.518348623853211
0.02,1012,13.75,0.5863453815261044
0.02,1012,39.5,0.5585585585585585
0.02,1012,62.5,0.47641509433962265
0.02,1012,6.5,0.5984555984555985
0.02,1012,38.25,0.547085201793722
0.02,1012,19.75,0.5950413223140496
0.02,1012,97.25,0.47572815533980584
0.02,1012,21.0,0.5462184873949579
0.02,1012,65.75,0.5093457943925234
0.02,1012,33.0,0.5132743362831859
0.02,1012,75.0,0.5213270142180095
0.02,1012,38.75,0.5201793721973094
0.02,1012,94.0,0.47342995169082125
0.02,1012,54.5,0.502283105022831
0.02,1012,47.25,0.4885844748858447
0.02,1012,23.75,0.5630252100840336
0.02,1012,27.0,0.5319148936170213
0.02,1012,61.75,0.5117370892018779
0.02,1012,0.75,0.5958904109589042
0.02,1012,36.75,0.5377777777777778
0.02,1012,11.25,0.615686274509804
0.02,1012,59.75,0.49765258215962443
0.02,1012,93.5,0.4927536231884058
0.02,1012,77.0,0.5047619047619047
0.02,1012,16.5,0.5591836734693878
0.02,1012,13.25,0.6104417670682731
0.02,1012,26.25,0.5672268907563025
0.02,1012,31.0,0.5333333333333333
0.02,1012,80.25,0.5167464114832536
0.02,1012,84.25,0.4927536231884058
0.02,1012,86.25,0.5024154589371981
0.02,1012,42.0,0.4909090909090909
0.02,1012,37.5,0.5178571428571429
0.02,1012,83.5,0.47342995169082125
0.02,1012,48.75,0.5114155251141552
0.02,1012,29.0,0.5198237885462555
0.02,1012,74.25,0.4976303317535545
0.02,1012,60.5,0.5164319248826291
0.02,1012,31.5,0.5353982300884956
0.02,1012,8.5,0.59375
0.02,1012,79.5,0.5096153846153846
0.02,1012,23.0,0.5780590717299579
0.02,1012,3.25,0.6297709923664122
0.02,1012,89.5,0.5048543689320388
0.02,1012,96.75,0.5072463768115942
0.02,1012,33.5,0.52
