MCLU,TIME[Myr],Z,NB_P,EBIN
1020,20.5,0.02,0,1.0326923010040784e+49
1020,20.5,0.02,1,9.318766239479162e+46
1020,85.25,0.02,0,1.0559928511264834e+48
1020,85.25,0.02,1,6.955803250546985e+46
1020,99.25,0.02,0,7.543360398913877e+46
1020,99.25,0.02,1,6.843868331139314e+46
1020,31.0,0.02,0,1.0268990831259146e+49
1020,31.0,0.02,1,9.114690047658796e+46
1020,70.5,0.02,0,1.0570315829490532e+48
1020,70.5,0.02,1,7.485245263691177e+46
1020,39.0,0.02,0,7.750625036473642e+48
1020,39.0,0.02,1,8.929961131686815e+46
1020,25.0,0.02,0,1.027323399046466e+49
1020,25.0,0.02,1,9.261648143038078e+46
1020,2.25,0.02,0,1.5057222031596402e+45
1020,2.25,0.02,1,6.123708764589815e+49
1020,75.75,0.02,0,1.0568823953795217e+48
1020,75.75,0.02,1,7.16168988533368e+46
1020,77.25,0.02,0,1.0569705030204436e+48
1020,77.25,0.02,1,6.993923437612027e+46
1020,64.75,0.02,0,1.0574804970809523e+48
1020,64.75,0.02,1,7.467250781373877e+46
1020,81.5,0.02,0,1.0566532963423545e+48
1020,81.5,0.02,1,6.959108308051433e+46
1020,19.0,0.02,0,1.0389512514819522e+49
1020,19.0,0.02,1,9.308926549947333e+46
1020,19.75,0.02,0,1.0390594633574143e+49
1020,19.75,0.02,1,9.304379371255698e+46
1020,74.25,0.02,0,1.0568721840208179e+48
1020,74.25,0.02,1,7.164287900079332e+46
1020,31.5,0.02,0,1.0261323461978693e+49
1020,31.5,0.02,1,9.122500909798332e+46
1020,57.25,0.02,0,3.336407312257214e+48
1020,57.25,0.02,1,7.741580623222347e+46
1020,33.75,0.02,0,1.0264802667902295e+49
1020,33.75,0.02,1,9.110922897561337e+46
1020,27.25,0.02,0,1.0272959887748314e+49
1020,27.25,0.02,1,9.119625778696547e+46
1020,33.0,0.02,0,1.0265618848166972e+49
1020,33.0,0.02,1,9.126942638348386e+46
1020,59.5,0.02,0,2.7093355641278485e+48
1020,59.5,0.02,1,7.688676332855522e+46
1020,44.75,0.02,0,7.755330095456149e+48
1020,44.75,0.02,1,8.819674449230743e+46
1020,8.0,0.02,0,3.329997585435157e+49
1020,8.0,0.02,1,9.340291382815392e+46
1020,91.25,0.02,0,9.606299359519319e+47
1020,91.25,0.02,1,6.912582561562773e+46
1020,62.5,0.02,0,1.0575478776764823e+48
1020,62.5,0.02,1,7.480079808894876e+46
1020,72.0,0.02,0,1.0570841330529379e+48
1020,72.0,0.02,1,7.47893746981038e+46
1020,10.25,0.02,0,3.325205942519036e+49
1020,10.25,0.02,1,9.561766291596247e+46
1020,28.0,0.02,0,1.0265529464935233e+49
1020,28.0,0.02,1,9.128928146816445e+46
1020,81.0,0.02,0,1.056618036546235e+48
1020,81.0,0.02,1,6.972217211441971e+46
1020,80.25,0.02,0,1.0565947886085894e+48
1020,80.25,0.02,1,6.979499661262336e+46
1020,4.5,0.02,0,3.5545462314046233e+49
1020,4.5,0.02,1,9.57304051644739e+46
